,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
9830,ONONDAGA,730521,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19228,2202,BREWERTON RD,,,MATTYDALE,NY,13211,9994,POINT (-76.144455176 43.0979954)
9836,CHAUTAUQUA,730511,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 17678,112,OSBORNE ST,,,SHERMAN,NY,14781,9160,POINT (-79.5943477 42.156296038)
10262,NIAGARA,728621,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18074,6726,TRANSIT RD,,,LOCKPORT,NY,14094,0,POINT (-78.697671312 43.102303489)
11126,NIAGARA,724298,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17234,4835,MILITARY ROAD,,,NIAGARA FALLS,NY,14305,0,POINT (-79.00689288 43.130580426)
11843,NIAGARA,720933,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16268,3661,RANSOMVILLE ROAD,,,RANSOMVILLE,NY,14131,7272,POINT (-78.90887524 43.236330917)
12277,CHAUTAUQUA,719291,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 16085,8026,ROUTE 60 N,,,CASSADAGA,NY,14718,9100,POINT (-79.31063503 42.350576903)
12337,NIAGARA,719074,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15739,4201,CARMEN RD,,,MIDDLEPORT,NY,14105,0,POINT (-78.489936236 43.205978956)
12362,ONEIDA,718996,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #15735,4120,STATE RTE 69,,,TABERG,NY,13471,0,POINT (-75.615395399 43.297117275)
12676,CHAUTAUQUA,717606,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16063,54,W MAIN ST,,,BROCTON,NY,14716,9339,POINT (-79.443523148 42.387482632)
12991,ONONDAGA,715868,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15408,6523,COLLAMER RD/ ROUTE 298,,,EAST SYRACUSE,NY,13057,9100,POINT (-76.069653396 43.103205088)
13303,ERIE,714395,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15900,244,FOREST AVE,,,BUFFALO,NY,14213,7000,POINT (-78.889814456 42.927960741)
13470,ONONDAGA,713613,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14963,922,STATE FAIR BLVD,,,GEDDES,NY,13209,7000,POINT (-76.24421357 43.095910695)
13613,ONEIDA,712821,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15168,9501,US ROUTE 20,,,BRIDGEWATER,NY,13313,0,POINT (-75.257546967 42.879160839)
13614,ERIE,712819,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14978,122,S MAIN ST,,,HOLLAND,NY,14080,9111,POINT (-78.538097981 42.639225886)
13723,ERIE,712222,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14886,663,E FERRY ST,,,BUFFALO,NY,14211,2500,POINT (-78.836662629 42.914232986)
14001,ONEIDA,710603,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 14466,9070,RT 365,,,HOLLAND PATENT,NY,13354,5000,POINT (-75.28664693 43.233349851)
