County,GEOID,License Number,Entity Name,DBA Name,Street Number,Street Name,City,State,Zip Code,geometry,TRACTCE,LSAD,ALAND,AWATER,pop_total,pop_white,housing_total,housing_owned,housing_rental,med_income,state,county,tract,_merge
WAYNE,36117021800,540205,DOLGEN NEW YORK LLC,DOLLAR GENERAL #11148,110,WAYNE AVE,CLYDE,NY,14433,POINT (347942.0468489588 4772280.404334275),21800,CT,5693176,153212,1832,1683,794,562,232,33790,36,117,21800,both
WAYNE,36117021600,746908,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22258,4802,RT 414,NORTH ROSE,NY,14516,POINT (346604.4887275753 4782332.73378438),21600,CT,183852269,219965,3963,3669,1535,1203,332,30459,36,117,21600,both
WAYNE,36117021502,752251,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23061,6466,RTE 104A,RED CREEK,NY,13143,POINT (359459.3200058044 4788416.213970689),21502,CT,101139630,2333354,4106,3903,1782,1411,371,32040,36,117,21502,both
WAYNE,36117021502,540155,DOLGEN NEW YORK LLC,DOLLAR GENERAL 6125,6010,NEW HARTFORD ST,WOLCOTT,NY,14590,POINT (352616.7163869212 4786797.062790838),21502,CT,101139630,2333354,4106,3903,1782,1411,371,32040,36,117,21502,both
WAYNE,36117021400,755859,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24328,7,ROUTE 31,LYONS,NY,14489,POINT (337264.875281232 4769500.899534121),21400,CT,11139507,199067,3182,2355,1244,884,360,30093,36,117,21400,both
WAYNE,36117021100,540135,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8643,204,W MILLER ST,NEWARK,NY,14513,POINT (329107.972072692 4768015.380542479),21100,CT,10987319,11970,5019,3918,2021,1226,795,30359,36,117,21100,both
WAYNE,36117020900,540182,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10071,7269,RIDGE RD,SODUS,NY,14551,POINT (334535.4040355345 4788386.012708848),20900,CT,105844290,246311,4901,4227,2061,1553,508,27011,36,117,20900,both
WAYNE,36117020700,540136,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8440,604,E MAIN ST,PALMYRA,NY,14522,POINT (318963.7590330882 4770192.849839617),20700,CT,5857740,0,3422,3286,1589,769,820,30576,36,117,20700,both
WAYNE,36117020500,708896,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14440,3838,WALWORTH MARION RD,MARION,NY,14505,POINT (321342.6679136816 4779358.744110656),20500,CT,75489208,266736,4571,4272,1833,1479,354,31770,36,117,20500,both
WAYNE,36117020402,540140,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9109,3906,RT 104 PO BOX 181,WILLIAMSON,NY,14589,POINT (321756.1544459617 4788983.194710938),20402,CT,36862407,9553,3993,3681,1623,1034,589,34940,36,117,20402,both
