County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
SCHENECTADY,738700,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8749,2001,BROADWAY,,,SCHENECTADY,NY,12306,5000,POINT (-73.964635605 42.798107006)
WARREN,738513,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19808,1858,RTE 9,,,LAKE GEORGE,NY,12845,0,POINT (-73.703813364 43.392143414)
ONONDAGA,738512,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19518,7344,RTE 20,,,POMPEY,NY,13138,9346,POINT (-76.013929414 42.897599266)
ULSTER,738470,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17899,3592,RT 9W,,,HIGHLAND,NY,12528,9200,POINT (-73.964134667 41.71256417)
CHENANGO,738117,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19842,1615,STATE HWY 8,,,MOUNT UPTON,NY,13809,9160,POINT (-75.381079631 42.41958859)
SARATOGA,737245,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19431,1800,NYS RT 29,,,GALWAY,NY,12074,9100,POINT (-74.050096999 43.054797465)
ST. LAWRENCE,736973,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19679,109,NYS RT 3,,,HARRISVILLE,NY,13648,0,POINT (-75.309659278 44.164913606)
CHAUTAUQUA,736375,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19335,5360,ROUUTE 474,,,ASHVILLE,NY,14710,91609,POINT (-79.41050295 42.081422817)
NIAGARA,736208,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19579,1895,QUAKER RD,,,BARKER,NY,14012,8000,POINT (-78.553807092 43.323078124)
BROOME,736205,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19634,16,PINE ST,,,DEPOSIT,NY,13754,7500,POINT (-75.417862104 42.062287713)
TIOGA,736200,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19746,97,OWEGO RD,,,CANDOR,NY,13743,0,POINT (-76.333987357 42.232595204)
DELAWARE,735996,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19338,550,W MAIN ST,,,HANCOCK,NY,13783,8777,POINT (-75.292472604 41.956612743)
CHENANGO,735106,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18530,311,MAIN ST,,,AFTON,NY,13730,9217,POINT (-75.517192518 42.234620271)
WAYNE,735105,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18565,2080,WALWORTH-PENFIELD RD,,,WALWORTH,NY,14568,0,POINT (-77.27966871 43.138076488)
CATTARAUGUS,735100,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18976,1511,E STATE ST,,,OLEAN,NY,14760,9160,POINT (-78.40192751 42.073104434)
GENESEE,735099,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19400,2666,W MAIN ST,,,BATAVIA,NY,14036,3200,POINT (-78.304856605 42.996036505)
WASHINGTON,735097,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18239,32,S MAIN ST,,,SALEM,NY,12865,3500,POINT (-73.331954919 43.162982765)
ERIE,735095,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18657,2737,SOUTHWESTERN BLVD,,,ORCHARD PARK,NY,14127,3000,POINT (-78.724601954 42.810973958)
STEUBEN,735094,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18917,3851,STATE RT 417,,,JASPER,NY,14855,0,POINT (-77.500996635 42.121158807)
CHAUTAUQUA,735092,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18952,2864,ROUTE 426,,,FINDLEY LAKE,NY,14736,7263,POINT (-79.73825383 42.122736281)
TIOGA,734633,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18509,7146,STATE ROUTE 434,,,APALACHIN,NY,13732,0,POINT (-76.149737239 42.068257837)
WYOMING,734632,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18900,2480,SR 20A,,,VARYSBURG,NY,14167,7512,POINT (-78.313440764 42.761311365)
TIOGA,734631,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19035,12343,STATE ROUTE 38,,,BERKSHIRE,NY,13736,0,POINT (-76.18716969 42.295124495)
ONEIDA,734527,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #16137,8420,STATE ROUTE 69,,,ORISKANY,NY,13424,0,POINT (-75.332144539 43.159012324)
GREENE,734526,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #16748,9718,ROUTE 9W,,,ATHENS,NY,12015,8000,POINT (-73.852992884 42.289878932)
DELAWARE,734524,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18914,11160,STATE HIGHWAY 23,,,DAVENPORT CENTER,NY,13751,7220,POINT (-74.92284375 42.443502621)
CHENANGO,734523,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19410,72,S MAIN STREET,,,EARLVILLE,NY,13332,9160,POINT (-75.542909454 42.732184838)
SULLIVAN,734522,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18717,7899,STATE ROUTE 55,,,NEVERSINK,NY,12765,7542,POINT (-74.583674229 41.857869901)
ST. LAWRENCE,733234,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18388,52,S MAIN ST,,,HAMMOND,NY,13646,0,POINT (-75.695746837 44.444620355)
ORLEANS,733232,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18377,16669,ROOSEVELT HWY,,,KENDALL,NY,14476,9160,POINT (-78.037529298 43.318603026)
BROOME,733229,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18570,2225,AIRPORT RD,,,BINGHAMTON,NY,13905,13500,POINT (-75.985408396 42.192716162)
SARATOGA,733226,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16997,51,LEONARD ST,,,GANSEVOORT,NY,12831,3000,POINT (-73.646538059 43.201958241)
NIAGARA,732351,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18480,3887,MAPLETON RD,,,NORTH TONAWANDA,NY,14120,7500,POINT (-78.833801886 43.122396126)
MONTGOMERY,732158,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18503,201,E MAIN ST,,,AMSTERDAM,NY,12010,9160,POINT (-74.18610011 42.933488103)
CHAUTAUQUA,731678,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18496,4884,RTE 430,,,BEMUS POINT,NY,14712,9160,POINT (-79.420735938 42.204041328)
ALLEGANY,731485,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17999,8874,ST ROUTE 243,,,RUSHFORD,NY,14777,9217,POINT (-78.243933329 42.389218985)
BROOME,731469,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18376,1538,CONKLIN RD,,,CONKLIN,NY,13748,0,POINT (-75.798111416 42.022524677)
CHAUTAUQUA,731468,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22154,5817,JAMESTOWN ST,,,SINCLAIRVILLE,NY,14782,9346,POINT (-79.266411103 42.253387814)
CHAUTAUQUA,731467,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18261,50,E MAIN ST,,,RIPLEY,NY,14775,7520,POINT (-79.706042008 42.268333795)
CATTARAUGUS,731466,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18458,529,PINE ST,,,SOUTH DAYTON,NY,14138,9346,POINT (-79.058207394 42.364727274)
WYOMING,731379,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17666,5720,RT 19A,,,CASTILE,NY,14427,3000,POINT (-78.064104877 42.622800708)
KINGS,730633,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19215,2027,UTICA AVE,,,BROOKLYN,NY,11234,8000,POINT (-73.927028642 40.622350131)
ONEIDA,730580,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 12183,1112,MOHAWK ST,,,UTICA,NY,13501,3000,POINT (-75.222035028 43.091109026)
ORANGE,730579,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 17793,1035,ROUTE 209,,,CUDDEBACKVILLE,NY,12729,8000,POINT (-74.593565677 41.463220619)
CATTARAUGUS,730578,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 17913,10011,ROUTE 16,,,MACHIAS,NY,14101,9200,POINT (-78.480158746 42.435588177)
FRANKLIN,730577,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 17932,116,COUNTY ROUTE 5,,,DICKINSON CENTER,NY,12930,0,POINT (-74.546338215 44.680628974)
NIAGARA,730576,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 18375,6408,CAMPBELL BLVD,,,LOCKPORT,NY,14094,0,POINT (-78.769241617 43.116274445)
WESTCHESTER,730575,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19009,205,E 3RD ST,,,MOUNT VERNON,NY,10553,5000,POINT (-73.828032045 40.908516659)
QUEENS,730574,Store,A,DOLGENCORP OF NEW YORK LLC,DOLLAR GENERAL # 19203,3527,31ST ST,,,ASTORIA,NY,11106,0,POINT (-73.928917085 40.757347262)
KINGS,730573,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19212,112,E 98TH ST #126,,,BROOKLYN,NY,11212,2000,POINT (-73.92200059 40.663981703)
KINGS,730571,Store,A,DOLGENCORP OF NEW YORK LLC,DOLLAR GENERAL # 19213,1192,MYRTLE AVE,,,BROOKLYN,NY,11221,15000,POINT (-73.93119889 40.697325836)
KINGS,730570,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19214,1450,ROCKAWAY PARKWAY,,,BROOKLYN,NY,11236,1500,POINT (-73.901879979 40.644685105)
KINGS,730568,Store,A,DOLGENCORP OF NEW YORK LLC,DOLLAR GENERAL # 19216,226,MOTHER GASTON BLVD,,,BROOKLYN,NY,11233,0,POINT (-73.908552916 40.673632333)
QUEENS,730566,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19221,1479,BEACH CHANNEL DR,,,FAR ROCKAWAY,NY,11691,0,POINT (-73.753812338 40.609879829)
ERIE,730565,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19220,41,BUFFALO RD,,,EAST AURORA,NY,14052,11100,POINT (-78.630644166 42.768473617)
FULTON,730564,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19226,200,N COMRIE AVE,,,JOHNSTOWN,NY,12095,5500,POINT (-74.359825614 43.013914643)
MONROE,730563,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19237,529,MONROE AVE,,,ROCHESTER,NY,14607,0,POINT (-77.593129425 43.145948268)
MONROE,730562,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19236,2390,LYELL AVE,,,ROCHESTER,NY,14606,0,POINT (-77.690884963 43.165909938)
MONROE,730560,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19235,1004,CULVER RD,,,ROCHESTER,NY,14609,9785,POINT (-77.563792261 43.163451442)
QUEENS,730559,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19234,1815,GATES AVE,,,RIDGEWOOD,NY,11385,2000,POINT (-73.908136 40.703705303)
ONONDAGA,730554,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19245,4141,S SALINA ST,,,SYRACUSE,NY,13205,7000,POINT (-76.141282877 43.008193156)
QUEENS,730553,Store,JAC,DOLGENCORP OF NEWYORK INC,DOLLAR GENERAL # 19222,7134,MYRTLE AVE,,,GLENDALE,NY,11385,5500,POINT (-73.878575961 40.702017984)
ERIE,730551,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19223,2391,GRAND ISLAND BLVD,,,GRAND ISLAND,NY,14072,0,POINT (-78.96760575 43.026950995)
MONROE,730549,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19224,4419,DEWEY AVE,,,ROCHESTER,NY,14616,0,POINT (-77.648140778 43.252007171)
QUEENS,730548,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19219,13217,14TH AVE,,,COLLEGE POINT,NY,11356,7000,POINT (-73.83561351 40.787381968)
KINGS,730547,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19218,4602,AVENUE D,,,BROOKLYN,NY,11203,0,POINT (-73.932964622 40.641795895)
KINGS,730545,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19217,4118,FARRAGUT RD,,,BROOKLYN,NY,11210,6400,POINT (-73.936950552 40.636773082)
ONONDAGA,730532,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19244,220,S GEDDES ST,,,SYRACUSE,NY,13204,0,POINT (-76.171170229 43.044831545)
RICHMOND,730531,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19243,2264,FOREST AVE,,,STATEN ISLAND,NY,10303,0,POINT (-74.165531087 40.62665931)
RICHMOND,730529,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19242,135,CANAL ST,,,STATEN ISLAND,NY,10304,5000,POINT (-74.078111357 40.626853979)
SUFFOLK,730527,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19238,29,ROCKY POINT YAPHUNK RD,,,ROCKY POINT,NY,11778,0,POINT (-72.94065981 40.942072556)
SUFFOLK,730526,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19240,441,WILLIAM FLOYD PKWY,,,SHIRLEY,NY,11967,13000,POINT (-72.864289834 40.782803646)
FRANKLIN,730525,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19239,245,BROADWAY STE 2,,,SARANAC LAKE,NY,12983,0,POINT (-74.139125074 44.332840636)
QUEENS,730523,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19232,168-42,JAMAICA AVE,,,JAMAICA,NY,11432,8600,POINT (-73.790696903 40.70674412)
QUEENS,730522,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19233,11335,SPRINGFIELD BLVD,,,QUEENS VILLAGE,NY,11429,4500,POINT (-73.740380338 40.703161946)
ONONDAGA,730521,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19228,2202,BREWERTON RD,,,MATTYDALE,NY,13211,9994,POINT (-76.144455176 43.0979954)
SUFFOLK,730519,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19227,660,N WELLWOOD AVE,,,LINDENHURST,NY,11757,2200,POINT (-73.384956631 40.702887229)
QUEENS,730518,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19225,11205,SUTPHIN BLVD,,,JAMAICA,NY,11435,5000,POINT (-73.794300786 40.68741587)
DUTCHESS,730514,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19230,258,HOOKER AVE,,,POUGHKEEPSIE,NY,12603,2000,POINT (-73.910327868 41.686435715)
QUEENS,730513,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19231,112-12,JAMAICA AVE,,,RICHMOND HILL,NY,11418,0,POINT (-73.835807803 40.697615724)
TOMPKINS,730512,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 17711,2124,MECKLENBURG RD,,,ITHACA,NY,14850,0,POINT (-76.633340659 42.451419454)
CHAUTAUQUA,730511,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 17678,112,OSBORNE ST,,,SHERMAN,NY,14781,9160,POINT (-79.5943477 42.156296038)
GREENE,730510,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17472,3647,RTE 145,,,EAST DURHAM,NY,12423,8000,POINT (-74.143712658 42.393195863)
BRONX,730509,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19211,900,SOUTHERN BLVD,,,BRONX,NY,10459,1500,POINT (-73.892725787 40.81945993)
ST. LAWRENCE,730508,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 17684,6,MCLIWEE RD,,,HEUVELTON,NY,13654,10000,POINT (-75.411408374 44.623276095)
BRONX,730507,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19204,1041,PROSPECT AVE,,,BRONX,NY,10459,0,POINT (-73.900141508 40.824936121)
BRONX,730506,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19205,1312,SOUTHER BLVD,,,BRONX,NY,10459,1500,POINT (-73.891233138 40.831187931)
BRONX,730505,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19206,1412,JEROME AVE,,,BRONX,NY,10452,0,POINT (-73.917036911 40.840831646)
BRONX,730503,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19207,2500,WHITE PLAINS RD,,,BRONX,NY,10467,7800,POINT (-73.867221416 40.863405914)
BRONX,730500,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 19208,3555,WHITE PLAINS RD,,,BRONX,NY,10467,7500,POINT (-73.865889196 40.878846469)
BRONX,730494,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19210,528,JACKSON AVE,,,BRONX,NY,10455,0,POINT (-73.909164795 40.812613634)
ST. LAWRENCE,729527,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17768,2776,NYS RT 11B,,,NICHOLVILLE,NY,12965,0,POINT (-74.709946762 44.688978523)
CATTARAUGUS,729525,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17674,3545,RT 16,,,HINSDALE,NY,14743,9200,POINT (-78.398945815 42.15228249)
CLINTON,729524,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17480,1945,STATE RT 3,,,CADYVILLE,NY,12918,9346,POINT (-73.620060297 44.703682142)
SULLIVAN,729523,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16890,37,GLEN WILD RD,,,ROCK HILL,NY,12775,7263,POINT (-74.598206018 41.628714912)
ST. LAWRENCE,729522,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17784,4906,NYS RT 56,,,COLTON,NY,13625,0,POINT (-74.944700401 44.557501122)
LEWIS,729489,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17843,9680,STATE RT 812,,,CROGHAN,NY,13327,9160,POINT (-75.390342472 43.888920836)
SARATOGA,729106,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16423,44,SPRING ST,,,SCHUYLERVILLE,NY,12871,5000,POINT (-73.585658704 43.104849659)
OTSEGO,728903,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17580,1975,STATE ROUTE 80,,,EDMESTON,NY,13335,0,POINT (-75.221189547 42.700528988)
RENSSELAER,728902,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17476,18322,NYS ROUTE 22,,,BERLIN,NY,12022,0,POINT (-73.374177419 42.697026316)
CLINTON,728901,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17063,7143,ROUTE 9,,,PLATTSBURGH,NY,12901,9160,POINT (-73.436096801 44.727135755)
SCHOHARIE,728900,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16110,393,MAIN STREET,,,RICHMONDVILLE,NY,12149,9000,POINT (-74.553276168 42.636543174)
DELAWARE,728623,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17621,36558,ROUTE 23,,,GRAND GORGE,NY,12434,0,POINT (-74.50411597 42.368090177)
GREENE,728622,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16252,6459,NYS 23A,,,TANNERSVILLE,NY,12485,9346,POINT (-74.154488181 42.19369718)
NIAGARA,728621,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18074,6726,TRANSIT RD,,,LOCKPORT,NY,14094,0,POINT (-78.697671312 43.102303489)
DUTCHESS,728620,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16664,3059,NYS ROUTE 22,,,DOVER PLAINS,NY,12522,8000,POINT (-73.581488455 41.733830893)
CAYUGA,725933,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17989,72,UTICA ST,,,PORT BYRON,NY,13140,7200,POINT (-76.622851964 43.03474602)
CATTARAUGUS,725533,Store,A,DOLGENCORP OF NEW YORK INC,DOLLAR GENERAL #17246,5442,NYS RT 353,,,LITTLE VALLEY,NY,14755,9100,POINT (-78.779480028 42.242620421)
ALBANY,725467,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 16872,1939,CENTRAL AVE,,,ALBANY,NY,12205,5500,POINT (-73.856759575 42.738680676)
STEUBEN,725466,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17267,95,S MAIN ST,,,AVOCA,NY,14809,0,POINT (-77.419807342 42.401003103)
BROOME,725134,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17006,599,KENT STREET,,,WINDSOR,NY,13865,9200,POINT (-75.642513454 42.070976101)
JEFFERSON,725026,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #17286,17953,COUNTY RT 75,,,SACKETS HARBOR,NY,13685,9400,POINT (-76.108409853 43.927504851)
TOMPKINS,725025,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16838,1989,EAST SHORE DRIVE,,,LANSING,NY,14882,0,POINT (-76.501756178 42.532707528)
OTSEGO,724830,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17787,318,MAIN ST,,,WORCESTER,NY,12197,9160,POINT (-74.734402893 42.595511243)
WASHINGTON,724826,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17062,11350,NYS RT 149,,,FORT ANN,NY,12827,9160,POINT (-73.494331331 43.414105844)
SULLIVAN,724824,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16523,100,MAIN ST,,,LIVINGSTON MANOR,NY,12758,9217,POINT (-74.831378746 41.898778156)
OTSEGO,724300,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17655,99,MAIN ST,,,MORRIS,NY,13808,0,POINT (-75.247937793 42.547699191)
NIAGARA,724298,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17234,4835,MILITARY ROAD,,,NIAGARA FALLS,NY,14305,0,POINT (-79.00689288 43.130580426)
CLINTON,724205,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17064,9775,RT 9,,,CHAZY,NY,12921,0,POINT (-73.437352578 44.896991376)
ULSTER,724204,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17103,1280,RT 32,,,WALLKILL,NY,12589,9000,POINT (-74.07532999 41.616443387)
GENESEE,723753,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16948,9195,ALLEGHANY RD,,,CORFU,NY,14036,8000,POINT (-78.405656534 42.967160974)
WASHINGTON,723014,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16472,1085,STATE RT 197,,,ARGYLE,NY,12809,7400,POINT (-73.492474278 43.24245588)
ST. LAWRENCE,723013,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16847,635,RT 11C,,,WINTHROP,NY,13697,0,POINT (-74.788479747 44.793410541)
CAYUGA,723012,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16610,2504,W MAIN ST,,,CATO,NY,13033,9200,POINT (-76.574626182 43.167731619)
WARREN,723011,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16739,6123,STATE RT 8,,,CHESTERTOWN,NY,12817,9111,POINT (-73.785379005 43.663921428)
CHEMUNG,722844,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL#16566,656,MAIN STREET,,,BREESPORT,NY,14816,0,POINT (-76.735035776 42.173100371)
JEFFERSON,722843,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16606,27531,WILSON ROAD,,,THERESA,NY,13691,0,POINT (-75.821415672 44.222800915)
LIVINGSTON,722825,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16318,8079,SOUTH MAIN STREET,,,SPRINGWATER,NY,14560,0,POINT (-77.597189368 42.632213334)
SULLIVAN,722689,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15950,585,STATE RT 55,,,ELDRED,NY,12732,8000,POINT (-74.884450023 41.527684145)
ULSTER,722525,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17514,3110,ROUTE 28,,,SHOKAN,NY,12481,4000,POINT (-74.20592155 41.974347258)
CLINTON,721056,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15842,6905,RT 22,,,PLATTSBURGH,NY,12901,0,POINT (-73.492416904 44.770401253)
NIAGARA,720933,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16268,3661,RANSOMVILLE ROAD,,,RANSOMVILLE,NY,14131,7272,POINT (-78.90887524 43.236330917)
SCHENECTADY,719899,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16215,3985,STATE HWY 30,,,ESPERANCE,NY,12066,3000,POINT (-74.246838565 42.760323725)
GENESEE,719896,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16178,7067,BIG TREE RD,,,PAVILION,NY,14525,6000,POINT (-78.013279698 42.869641931)
FRANKLIN,719892,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16269,884,STATE RT 11,,,MOIRA,NY,12957,3,POINT (-74.548297066 44.82095645)
ST. LAWRENCE,719871,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16163,57,SOUTH MAIN STREET,,,NORWOOD,NY,13668,0,POINT (-74.992881508 44.745113847)
CHAUTAUQUA,719291,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL # 16085,8026,ROUTE 60 N,,,CASSADAGA,NY,14718,9100,POINT (-79.31063503 42.350576903)
OSWEGO,719272,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16000,8,COLUMBIA AVENUE,,,OSWEGO,NY,13126,10000,POINT (-76.475262156 43.400319542)
FULTON,719162,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15744,2480,STATE HIGHWAY 30,,,MAYFIELD,NY,12117,7195,POINT (-74.268656324 43.109427855)
SARATOGA,719075,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15734,162,W MILTON RD,,,BALLSTON SPA,NY,12020,0,POINT (-73.928079146 43.036866222)
NIAGARA,719074,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15739,4201,CARMEN RD,,,MIDDLEPORT,NY,14105,0,POINT (-78.489936236 43.205978956)
STEUBEN,719073,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15759,4,W LAMOKA AVE,,,SAVONA,NY,14879,0,POINT (-77.219837009 42.28917787)
ONEIDA,718996,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #15735,4120,STATE RTE 69,,,TABERG,NY,13471,0,POINT (-75.615395399 43.297117275)
ST. LAWRENCE,718995,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #15824,11997,STATE HWY 37,,,WADDINGTON,NY,13694,0,POINT (-75.218180779 44.85794625)
TIOGA,718993,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #16036,1140,OWEGO RD,,,CANDOR,NY,13743,0,POINT (-76.311838429 42.165395503)
WARREN,718991,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #14999,61,MAIN ST,,,QUEENSBURY,NY,12804,0,POINT (-73.669526434 43.300290999)
