County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
JEFFERSON,754448,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23538,12301,STATE RT 193,,,ELLISBURG,NY,13636,10000,POINT (-76.126317274 43.737350769)
ESSEX,754447,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24203,3954,NYS RT 22,,,WILLSBORO,NY,12996,9160,POINT (-73.399956465 44.372076241)
WARREN,754163,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23797,3760,MAIN ST,,,WARRENSBURG,NY,12885,10642,POINT (-73.767776756 43.492480495)
CLINTON,753874,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23449,7598,ROUTE 22,,,WEST CHAZY,NY,12992,0,POINT (-73.506933019 44.813463071)
ORANGE,753669,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21171,5280,US ROUTE 9W,,,NEWBURGH,NY,12550,10000,POINT (-74.005010394 41.552460707)
TOMPKINS,753583,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23670,1124,RIDGE RD,,,LANSING,NY,14882,0,POINT (-76.584501321 42.581380109)
HERKIMER,753265,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23760,8290,STATE RT 28,,,NEWPORT,NY,13416,10770,POINT (-75.038669721 43.203430394)
HERKIMER,753211,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23909,4225,ACME RD,,,FRANKFORT,NY,13340,8519,POINT (-75.06048754 43.029757682)
ST. LAWRENCE,753209,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23623,8740,ROUTE 56,,,NORFOLK,NY,13667,0,POINT (-74.977481856 44.836112147)
SCHENECTADY,753207,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20977,1225,MAIN ST,,,ROTTERDAM JUNCTION,NY,12150,0,POINT (-74.039714781 42.870158885)
WAYNE,752251,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23061,6466,RTE 104A,,,RED CREEK,NY,13143,0,POINT (-76.730855877 43.235451878)
FRANKLIN,752250,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23337,1329,STATE RT 122,,,CONSTABLE,NY,12926,0,POINT (-74.279069162 44.930688681)
JEFFERSON,752249,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22995,32270,STATE RT 3,,,CARTHAGE,NY,13619,0,POINT (-75.728600379 44.027942789)
MADISON,752095,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23298,3199,STATE RT 31,,,CANASTOTA,NY,13032,0,POINT (-75.78395273 43.158807008)
MONROE,751290,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22585,252,E MAIN ST,,,ROCHESTER,NY,14604,0,POINT (-77.605359125 43.157634024)
ERIE,751065,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22725,4030,SOUTHWESTERN BLVD,,,ORCHARD PARK,NY,14127,0,POINT (-78.799434238 42.774952954)
ONEIDA,751062,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6714,1600,MAIN ST,,,SYLVAN BEACH,NY,13157,0,POINT (-75.728008112 43.203984794)
ERIE,751042,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21764,12220,WALDEN AVE,,,ALDEN,NY,14004,9160,POINT (-78.533274531 42.939099703)
ERIE,750455,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 22699,8680,STATE RD,,,COLDEN,NY,14033,9400,POINT (-78.687051357 42.646966364)
CATTARAUGUS,750401,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20622,244,BUFFALO ST,,,GOWANDA,NY,14070,9160,POINT (-78.935731612 42.470863793)
OSWEGO,750399,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23128,1896,ROUTE 11,,,HASTINGS,NY,13076,10765,POINT (-76.1525244 43.369403066)
ST. LAWRENCE,750135,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22686,3712,ST HWY 37,,,OGDENSBURG,NY,13669,0,POINT (-75.633468807 44.595355435)
ULSTER,750134,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22620,1984,ROUTE 9W,,,MARLBORO,NY,12542,0,POINT (-73.959854522 41.669643327)
ORLEANS,750132,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22562,30,N MAIN ST,,,LYNDONVILLE,NY,14098,7520,POINT (-78.38844614 43.322112487)
CLINTON,750130,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21753,901,MILITARY TPKE,,,PLATTSBURGH,NY,12901,0,POINT (-73.511945649 44.653471943)
ORANGE,750128,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19908,748,ROUTE 284,,,WESTTOWN,NY,10998,0,POINT (-74.541546784 41.334868186)
TOMPKINS,750127,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22623,1188,AUBURN RD,,,LOCKE,NY,13092,0,POINT (-76.498001086 42.613062571)
ONONDAGA,749812,Store,JAC,DOLGEN NEW YORK LLC,DOLLAR GENERAL #23195,301,S SALINA ST,,,SYRACUSE,NY,13202,0,POINT (-76.151937785 43.048480648)
ST. LAWRENCE,749811,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22958,4149,STATE HWY 3,,,STAR LAKE,NY,13690,0,POINT (-75.040212271 44.162667298)
ERIE,749810,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21444,6401,OLEAN RD,,,SOUTH WALES,NY,14139,9000,POINT (-78.577850246 42.710679012)
ERIE,749809,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22710,5203,SENECA ST,,,W SENECA,NY,14224,0,POINT (-78.712152978 42.834416103)
LIVINGSTON,749808,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22852,4797,S MAIN ST,,,HEMLOCK,NY,14466,0,POINT (-77.605025274 42.789581554)
BROOME,749792,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22475,2301,VESTAL PKWY,,,VESTAL,NY,13850,0,POINT (-76.099377384 42.068854851)
ESSEX,749790,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22214,1790,E MAIN ST,,,BLOOMINGDALE,NY,12913,0,POINT (-74.078839464 44.410446349)
ONTARIO,749775,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10079,8673,MAIN ST,,,HONEOYE,NY,14471,0,POINT (-77.512349085 42.789221468)
STEUBEN,749774,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22186,8569,MAIN ST,,,CAMPBELL,NY,14821,0,POINT (-77.190749625 42.229736975)
FRANKLIN,749773,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22010,94,W MAIN ST,,,CHATEAUGAY,NY,12920,0,POINT (-74.084716548 44.926036599)
DUTCHESS,749772,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22142,2555,STATE RT 55,,,POUGHQUAG,NY,12570,0,POINT (-73.686911926 41.625217354)
STEUBEN,749771,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20710,1084,CATON RD,,,CORNING,NY,14830,0,POINT (-77.027712221 42.056320301)
JEFFERSON,749744,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22520,16234,FOSTER PARK RD,,,DEXTER,NY,13634,9346,POINT (-76.046991525 44.00121284)
CHAUTAUQUA,749728,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8294,1190,CENTRAL AVE A,,,DUNKIRK,NY,14048,7240,POINT (-79.333489714 42.457444995)
DUTCHESS,749726,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20475,1,E DORSEY LN,,,POUGHKEEPSIE,NY,12601,7500,POINT (-73.911382562 41.745516817)
STEUBEN,749592,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22635,6758,RT 415,,,BATH,NY,14810,3,POINT (-77.298201685 42.328972589)
WYOMING,749574,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 22210,3644,RT 78,,,STRYKERSVILLE,NY,14145,9300,POINT (-78.454997446 42.709532493)
WYOMING,749486,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22357,7862,RT 98,,,ARCADE,NY,14009,4000,POINT (-78.412544699 42.525450141)
CHENANGO,748405,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22374,6192,HWY 12,,,NORWICH,NY,13815,0,POINT (-75.525712433 42.553844184)
SCHOHARIE,748402,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21746,1273,STATE RD 10,,,JEFFERSON,NY,12093,0,POINT (-74.601643039 42.481730008)
WAYNE,746908,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22258,4802,RT 414,,,NORTH ROSE,NY,14516,0,POINT (-76.887401867 43.178197022)
LEWIS,746906,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21446,10024,STATE RT 12,,,COPENHAGEN,NY,13626,9160,POINT (-75.6802979 43.897704316)
CHENANGO,746905,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21398,5294,STATE HWY 41,,,SMITHVILLE FLATS,NY,13841,0,POINT (-75.807794358 42.399020154)
WASHINGTON,746615,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21449,123,ROWE HILL RD,,,HARTFORD,NY,12838,0,POINT (-73.393788055 43.359055809)
MADISON,746439,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21799,7578,RT 20,,,MADISON,NY,13402,0,POINT (-75.496293081 42.903562697)
